x1,x2,x3,w1,w2,w3,m1,m2,m3,y1,y2,y3,y4,y5,y6,y7,y8,y9,SAL,sprom1,sprom2,sprom3,perfev,leader
3,3,3,6,6,6,2,2,2,6,6,6,6,6,6,6,6,7,0,6,2,4,2,1
5,5,5,6,6,6,4,4,4,7,7,6,7,7,7,6,7,5,7.33,7,2,7,2,1
3,3,6,7,6,7,5,2,5,6,6,6,5,5,5,4,6,2,11.72,7,4,6,2,2
4,4,4,4,4,4,4,4,4,5,5,5,2,2,2,2,2,6,0,4,1,2,2,2
2,2,2,5,4,5,5,5,5,3,3,3,2,2,2,3,3,2,0,6,3,6,2,3
2,2,2,6,6,6,2,1,2,7,7,6,7,7,7,7,7,6,18.5,7,2,7,2,4
5,6,5,7,7,6,1,1,1,7,7,7,7,7,7,7,7,5,0,6,4,4,2,4
2,2,5,6,6,6,2,2,2,5,6,5,5,6,5,5,5,2,0,6,3,5,2,4
2,2,2,6,6,6,7,6,6,2,3,2,5,3,5,6,6,2,0,2,1,3,2,4
1,1,1,7,7,7,2,2,1,6,6,6,5,5,5,6,5,5,12.59,7,2,4,2,6
5,5,5,6,6,6,7,7,4,6,6,6,5,5,2,5,5,3,5.57,5,2,5,2,6
7,7,7,7,7,6,1,1,1,6,6,5,6,6,5,4,4,3,0,6,1,6,2,7
7,7,7,7,7,7,2,3,2,5,5,3,5,5,3,3,4,3,0,6,1,2,2,8
5,5,5,6,6,6,3,3,3,5,5,5,5,5,5,5,5,2,0,7,6,6,2,10
1,1,1,6,6,6,2,3,3,7,7,7,7,7,5,5,7,4,0,7,7,7,3,10
7,7,7,1,2,2,4,7,6,6,6,6,6,6,5,5,5,3,0,6,1,6,2,11
6,5,6,1,2,1,7,7,6,4,4,3,4,4,3,5,5,4,0,5,1,3,2,13
5,5,5,6,6,6,4,4,2,5,5,5,5,5,4,4,5,2,0,6,1,3,2,14
2,2,2,7,7,6,3,3,3,6,6,6,7,6,4,4,4,4,0,6,4,6,3,15
4,5,2,2,3,4,5,5,4,6,6,6,6,7,6,6,6,2,0,7,5,7,2,16
3,2,1,7,7,7,2,2,2,7,7,7,7,7,7,7,7,6,0,7,3,7,2,17
7,7,7,7,6,6,2,2,2,6,6,4,6,6,6,4,7,7,0,6,2,4,2,18
5,5,6,6,6,6,2,3,2,6,6,6,6,6,6,6,5,5,0,5,1,2,2,19
6,7,6,1,1,1,6,6,6,6,6,6,6,6,6,7,7,4,0,7,7,7,2,21
5,4,4,6,5,4,5,5,5,7,7,6,6,7,6,6,6,5,0,6,2,6,2,22
2,2,2,7,6,7,1,1,2,6,7,6,7,7,7,5,6,2,0,7,7,7,2,23
4,5,5,7,6,6,5,6,4,6,6,6,6,6,6,6,6,4,4.88,6,4,6,3,24
2,2,2,7,7,7,2,2,2,6,6,4,5,4,4,4,5,3,0,6,5,6,2,25
2,2,2,6,5,6,3,2,2,7,7,7,7,6,6,6,6,1,0,6,7,7,2,26
2,2,2,2,2,2,2,2,2,7,7,7,7,7,7,7,7,5,10.74,7,5,7,2,27
1,1,1,1,1,1,1,1,1,6,6,6,6,6,6,6,6,6,0,6,6,6,2,28
6,6,6,1,1,1,7,7,7,6,5,4,5,5,5,4,5,4,0,6,4,6,2,29
3,3,3,5,5,5,4,2,2,6,6,6,6,6,6,6,5,5,0,6,4,6,2,29
2,2,2,7,6,6,5,4,3,5,6,5,5,5,5,6,5,5,0,6,5,7,2,30
1,1,1,1,1,1,7,7,7,4,4,4,3,4,4,4,3,3,0,3,2,3,2,31
5,5,5,6,7,7,2,1,1,5,6,6,6,6,6,4,7,5,0,6,3,4,1,32
2,2,2,6,4,5,2,2,1,3,3,4,6,4,4,3,5,2,0,5,1,2,2,33
2,2,2,6,5,6,3,2,2,7,7,7,7,6,6,6,6,1,0,6,7,7,2,33
3,5,6,6,5,6,3,3,5,6,6,6,4,6,5,4,4,3,14.45,7,7,7,2,34
7,7,7,2,2,3,7,7,7,6,5,5,5,5,5,5,5,4,0,5,4,5,2,34
2,2,2,7,7,7,4,4,2,6,6,6,6,6,6,6,6,5,0,6,4,6,2,34
2,2,2,6,4,5,2,2,1,3,3,4,6,4,4,3,5,2,0,5,1,2,2,34
3,2,2,6,6,5,4,3,3,6,6,4,5,5,5,6,5,4,0,4,2,6,2,36
6,6,4,5,3,5,5,6,5,6,7,6,6,7,6,4,6,2,0,6,4,7,2,37
2,3,3,6,6,5,2,2,3,7,7,7,6,6,7,5,7,3,0,7,1,2,2,37
2,2,2,2,2,2,6,6,4,2,2,1,4,2,2,6,4,2,0,1,1,1,2,37
1,1,1,5,4,5,7,6,6,5,4,6,5,5,4,4,4,4,0,6,3,5,2,38
4,4,4,4,4,4,5,5,4,3,4,4,6,6,3,4,2,2,0,1,1,1,2,39
6,6,5,7,7,7,2,2,2,3,3,6,6,6,5,7,6,5,0,6,2,2,2,40
5,6,6,7,7,7,2,2,2,7,7,6,6,7,6,7,7,6,3.01,7,5,7,3,41
2,2,2,3,5,6,4,4,4,3,3,4,5,5,4,4,5,4,0,5,1,3,2,44
2,2,2,5,6,6,3,5,5,3,3,3,3,3,3,3,3,3,0,4,1,1,2,45
1,1,1,3,3,3,3,3,3,6,6,4,4,5,5,7,6,5,0,5,2,7,2,49
2,2,2,6,6,6,2,2,2,5,5,5,6,6,5,6,7,5,0,6,3,6,2,50
2,5,5,7,7,7,2,6,2,6,6,6,6,6,6,6,6,2,0,6,2,6,2,51
6,5,5,6,7,7,6,4,4,7,7,7,7,7,7,7,7,4,0,7,2,7,3,53
5,5,5,2,3,1,3,3,2,6,6,4,7,7,6,4,7,6,0,6,2,4,2,56
2,2,4,7,6,7,2,2,1,6,6,6,6,6,5,5,5,5,0,6,2,4,2,57
6,6,5,6,6,6,2,2,1,7,7,7,7,7,7,7,7,7,3.39,6,2,5,3,58
5,5,5,5,5,5,4,4,4,6,6,6,5,5,5,5,5,5,0,6,5,6,3,58
6,5,5,3,4,4,7,7,7,6,6,5,6,6,5,5,6,5,0,5,2,5,2,59
6,5,6,2,2,2,6,5,5,7,7,7,7,7,6,5,6,2,0,7,6,6,2,60
4,5,5,7,6,6,5,6,4,6,6,6,6,6,6,6,6,4,4.88,6,4,6,3,63
5,5,5,2,5,3,6,6,6,4,4,4,4,4,4,6,6,2,0,6,4,4,2,64
1,2,1,7,7,7,2,2,1,6,6,6,6,6,6,5,6,5,0,6,5,6,2,67
6,6,5,6,6,6,2,2,1,7,7,7,7,7,7,7,7,7,3.39,6,2,5,3,70
7,7,7,7,7,7,1,1,1,6,6,4,6,5,4,5,5,4,0,6,2,5,2,73
2,2,2,7,7,7,2,2,2,6,6,5,6,6,6,6,6,5,8.87,6,3,5,2,73
7,7,7,2,2,2,6,6,7,7,7,6,7,7,7,7,7,2,0,7,3,7,2,74
5,5,5,5,5,6,2,2,2,7,7,7,7,7,7,7,7,7,7.81,5,1,3,3,75
2,2,2,7,7,7,3,2,1,6,6,4,4,5,4,7,5,4,0,6,3,4,2,76
6,6,5,6,6,6,1,1,1,5,5,4,4,5,5,5,5,2,0,6,3,5,2,77
2,2,2,7,7,7,4,3,5,3,3,4,2,2,2,2,2,2,0,4,4,5,2,78
5,5,6,3,5,5,6,5,5,3,4,3,3,3,3,4,4,3,0,6,4,5,2,79
5,5,5,6,6,6,4,4,2,5,5,5,5,5,4,4,5,2,0,6,1,3,2,82
1,5,1,6,6,7,3,3,4,6,5,6,6,6,6,5,6,5,0,5,2,4,2,83
2,2,3,2,2,2,6,6,2,7,7,7,6,7,7,7,7,7,9.28,7,7,7,3,84
1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,6,0,7,6,7,3,85
6,6,6,3,5,5,5,6,2,7,7,7,6,6,7,6,7,4,0,7,1,4,2,86
4,4,4,6,6,6,2,2,5,4,4,4,6,4,5,5,4,2,0,5,1,4,2,87
7,7,7,6,6,7,1,1,1,6,6,6,6,6,5,6,6,2,0,6,2,6,2,89
7,7,7,1,1,1,7,7,7,5,6,3,4,4,3,3,5,4,0,7,3,7,2,90
2,2,2,7,7,7,2,2,2,7,7,7,7,7,4,4,7,4,0,7,1,7,2,91
6,6,6,3,5,5,5,6,2,7,7,7,6,6,7,6,7,4,0,7,1,4,2,95
6,3,2,6,6,6,1,5,3,6,5,4,6,6,5,5,5,4,0,6,2,6,2,96
1,1,1,6,6,6,1,1,2,6,6,6,6,6,6,5,4,2,0,7,2,5,2,96
6,6,6,1,1,1,7,6,6,4,6,4,5,5,5,4,6,4,0,6,7,7,2,96
5,5,5,5,5,5,4,4,4,6,6,6,5,5,5,5,5,5,0,6,5,6,3,97
2,2,2,6,6,6,2,2,2,6,6,4,6,6,6,6,6,3,0,6,2,5,2,99
